Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDV44,OUT027,5142.536975143303
FDG02,OUT049,3299.661839696386
FDA09,OUT013,3062.0896367294877
FDT04,OUT013,596.0131553901897
FDL58,OUT019,571.8516065652526
FDE52,OUT045,1382.3111564868602
FDW12,OUT035,2459.9259381932516
FDL51,OUT017,3857.3516453568864
NCY42,OUT027,3633.236767516925
FDR07,OUT017,1581.388994609892
FDN40,OUT045,2422.1279091169654
FDB35,OUT027,2487.510965862026
FDA22,OUT017,2645.945983057095
NCL06,OUT046,3807.6956598102024
FDI35,OUT013,3129.376706027254
NCW42,OUT045,3482.701842507212
NCX06,OUT049,3129.575878992415
FDC37,OUT027,2795.166327770144
FDZ14,OUT018,1755.498386890213
DRG49,OUT049,4127.42162354894
NCG06,OUT045,3754.2982911487193
DRC36,OUT045,2884.8737027438224
FDV21,OUT019,307.7502007690328
FDB53,OUT046,2443.4135799735745
DRP47,OUT019,574.5603122821226
FDA14,OUT013,2392.8472134822
DRC24,OUT035,2542.510778524483
FDW21,OUT018,1422.6658014904542
NCH29,OUT046,1629.678043675345
FDU58,OUT013,3063.0681230317464
FDY27,OUT017,3030.524584565916
FDV56,OUT035,1784.2173846669646
FDT59,OUT046,3746.0221177152644
FDB23,OUT046,3693.759801948471
FDR49,OUT045,763.1958446812168
FDB03,OUT010,578.4312843964527
FDN39,OUT045,2727.7189374656596
FDX02,OUT027,5751.494631383079
FDQ16,OUT027,2782.031106335492
FDU35,OUT018,1425.4543724710984
NCT29,OUT013,1978.3070706973126
FDZ27,OUT046,780.8403663967385
FDN57,OUT017,2340.684703310156
FDA03,OUT018,2013.9215564810388
FDZ36,OUT045,3037.2138872608502
NCU05,OUT013,1270.4403091739741
FDT39,OUT018,2182.05445644318
FDK60,OUT017,1612.9449339059238
FDZ25,OUT017,2879.188589500128
FDG12,OUT046,2113.7977428639547
DRB01,OUT019,472.9416208622431
NCC43,OUT027,5998.668227685134
FDX13,OUT019,565.372140526319
FDM22,OUT049,845.3284777620248
FDJ03,OUT027,1415.9322356153593
FDU14,OUT018,3509.7361330417834
FDB33,OUT010,384.56397683167773
FDP27,OUT046,3149.9650028734495
FDO38,OUT010,179.7613260038651
FDE28,OUT027,5834.3772502480715
FDO27,OUT035,1621.6489155700608
DRL23,OUT027,2764.3125220993297
FDS28,OUT046,902.6297677915768
FDX24,OUT013,1446.685393488495
FDZ02,OUT035,1564.5327186375257
FDL46,OUT045,1855.5412895391376
FDS60,OUT027,4892.587604993155
NCO06,OUT017,583.8432840364478
FDO16,OUT035,1426.2033147936909
FDC60,OUT049,1363.9212334691392
FDA48,OUT018,3297.1606281587806
FDZ36,OUT027,4888.654419847115
FDK27,OUT045,1913.5228034742295
FDW23,OUT018,514.157335327862
FDM14,OUT018,1507.8203535650664
FDM14,OUT013,1723.3056015107443
FDW60,OUT018,2709.0871354728815
FDE21,OUT013,1895.2326072895066
NCM42,OUT035,1775.939298877409
FDY59,OUT010,206.56143049364255
DRI49,OUT049,1288.5926398848417
FDT28,OUT019,337.7917323512227
FDQ22,OUT018,516.188091730343
FDR60,OUT049,1215.8534913218712
FDC50,OUT019,246.28578313766243
FDV24,OUT013,2377.8923957874586
DRF48,OUT010,449.17315433029626
FDQ47,OUT046,649.3180571753953
DRN36,OUT049,1548.4162305844538
NCY06,OUT035,2091.166591038134
FDE52,OUT035,1422.1762113767657
NCB54,OUT045,1919.5788750704676
NCF31,OUT035,2534.0382002507163
FDJ08,OUT027,5342.463992577952
NCC07,OUT017,1733.7048646417948
NCD19,OUT027,1495.9759811219792
FDL46,OUT049,2046.953166155811
FDM20,OUT045,4048.212435130745
NCI06,OUT010,425.40180792371643
DRM11,OUT035,4305.657845643722
NCH07,OUT018,2346.7237067318197
FDS23,OUT013,2066.1697254560318
FDO49,OUT018,622.429596457007
FDS35,OUT049,1014.9772910159959
DRK39,OUT045,1377.9916365246704
DRI39,OUT049,893.3753547552353
FDV04,OUT017,2496.907784662768
NCN14,OUT035,3104.851851031323
FDH08,OUT013,3929.7844275558587
FDS20,OUT046,2979.3440600483127
FDV40,OUT049,1202.564238521556
FDZ48,OUT010,241.05738075114124
FDS24,OUT027,2452.6846806122835
FDK44,OUT049,2876.5865992665085
FDS48,OUT045,2434.958684741704
FDK26,OUT010,505.09657111205337
FDD23,OUT045,3049.0171995086475
NCH54,OUT017,2669.023903551778
NCP14,OUT010,244.15004092040544
FDM60,OUT010,109.90299145825514
FDV24,OUT017,2438.9751094198114
FDH08,OUT018,3265.8433464215923
FDS12,OUT027,3254.2866010637126
FDR39,OUT027,4987.33181347864
FDP12,OUT027,1275.4525024381553
DRF60,OUT027,5934.736730989859
FDC09,OUT035,1704.9023715345702
FDF50,OUT018,2965.8980892564323
FDG28,OUT035,4186.996642097796
NCE19,OUT017,868.5126624446882
NCM53,OUT010,250.97044414303622
NCN18,OUT049,1795.8699357910557
FDF32,OUT035,3246.089461497886
FDF11,OUT013,4020.6083195447973
DRI59,OUT049,3845.4694705409206
NCG54,OUT035,2956.1987094558804
FDM44,OUT046,1643.7664697262746
FDT57,OUT018,3231.319720586726
FDV24,OUT046,2383.069710781497
FDI50,OUT019,550.5249663233604
FDS09,OUT035,824.7951592695207
NCC31,OUT027,3952.5140523932823
FDQ07,OUT019,525.493178029696
FDC22,OUT017,3188.2327403383097
FDZ56,OUT046,2703.333619478011
FDZ40,OUT019,146.89368663554345
FDS46,OUT027,3092.46557512391
DRD24,OUT045,2172.4630411316325
FDV45,OUT017,3139.0267213695056
FDL26,OUT045,2541.5682851458805
FDA56,OUT018,1782.749016983023
FDN27,OUT046,1989.5273056581584
FDM20,OUT049,4178.898240678086
FDO16,OUT017,1401.0393680512716
FDL03,OUT035,3194.6740508473445
FDE58,OUT046,1980.9437991899902
FDI02,OUT027,2959.1205717986722
NCC55,OUT019,114.26548199165998
FDR03,OUT018,2985.615556967917
FDB14,OUT017,1501.8166384423632
FDR45,OUT013,4012.76928445696
NCN07,OUT017,2130.6223152305915
FDM51,OUT019,266.53263640654075
FDT52,OUT027,5997.769485498058
FDL26,OUT046,2469.984812330214
NCZ42,OUT046,3657.947101563887
DRI47,OUT019,339.8321145394991
FDW40,OUT013,2365.675766084373
FDN34,OUT046,2832.074279881952
FDS01,OUT035,3099.4865638740475
NCG55,OUT045,1864.5831714318028
FDC11,OUT035,1419.9396813352328
FDX35,OUT018,3222.2093941003263
NCB06,OUT046,2513.0148328679325
FDR09,OUT019,574.6893228072661
FDC53,OUT017,1616.6727203194375
FDY45,OUT013,4089.440973590941
FDA22,OUT010,400.8912316207175
FDE02,OUT035,1606.7610166209813
FDW21,OUT045,1596.1736419989843
FDV34,OUT046,1259.8973166050255
FDS59,OUT049,1800.814904058587
NCW17,OUT017,2109.1599080469978
NCK54,OUT046,1974.8896850813003
FDG17,OUT019,553.8647345817599
FDG35,OUT017,2978.3734900043014
FDD08,OUT010,112.08024837737679
NCO07,OUT017,3786.4180906501797
FDJ10,OUT010,338.2631769414521
FDW36,OUT017,1730.5575606199782
FDW21,OUT010,220.43394654329248
FDY19,OUT017,1967.7602623716407
DRE03,OUT013,699.6596382400007
NCC55,OUT049,658.0128726164503
FDH52,OUT010,149.62279029751815
FDO09,OUT017,4050.619004995512
FDU43,OUT045,3942.4847966185457
FDX09,OUT010,419.7750463480029
FDH40,OUT019,224.13354203339904
FDW58,OUT017,1719.2096450630386
FDC47,OUT017,3880.0100387799157
NCR41,OUT035,1583.5840212048963
DRG49,OUT035,4199.104116332801
FDC52,OUT027,4053.9399031131825
FDY13,OUT046,1252.0860761970803
FDY35,OUT013,663.8472711832004
FDI35,OUT017,3155.5180644710526
NCU18,OUT049,2367.6121036090703
FDY33,OUT018,2424.961046526004
FDC15,OUT027,3959.1873567727343
FDU01,OUT049,3239.236231902568
NCU42,OUT046,2835.249857470088
NCV29,OUT018,2596.1148635644417
NCY30,OUT017,3088.7005310019576
FDQ46,OUT049,1827.402379255692
FDG58,OUT027,4016.823404179925
FDK33,OUT017,3779.610041343761
NCD07,OUT045,1836.251647206117
NCX29,OUT027,3649.8602276263678
NCT42,OUT013,2407.1497379641396
DRN59,OUT035,732.0220979623784
FDI44,OUT035,1332.6990130789047
FDA45,OUT049,2990.28811521398
FDP31,OUT045,1086.3975209836694
FDY01,OUT046,1944.1112301402088
FDT09,OUT018,1866.431848902769
DRH03,OUT027,2531.4240986039604
FDA36,OUT018,2749.366075760132
NCF31,OUT017,2470.879081041332
FDG14,OUT049,2439.797063245302
FDG28,OUT027,5996.7973258126385
FDU14,OUT049,4088.8592586358136
FDY47,OUT019,304.4355595709571
FDI56,OUT049,1404.539291969801
DRD01,OUT013,784.3597036962872
FDM22,OUT046,903.4512419409131
FDH33,OUT013,647.2698180873472
DRZ24,OUT013,1907.1474995442286
NCQ38,OUT046,1717.77163852207
FDO16,OUT027,2299.873811758555
FDU07,OUT027,3897.871312321308
NCB07,OUT013,3008.249581238219
FDU48,OUT045,2025.1063210734462
NCM43,OUT045,2676.9792896904546
FDR31,OUT010,334.09264174538094
DRK49,OUT018,523.2029947376843
NCI30,OUT010,589.3868852659597
DRD60,OUT017,3099.8218645163915
NCG19,OUT046,3559.8626513004488
FDH12,OUT035,1697.4207188396044
FDM32,OUT035,1476.8839491218841
FDM27,OUT035,2617.0679724213437
NCU53,OUT027,4364.0629000899025
NCQ18,OUT046,1605.3098292025106
FDS10,OUT013,2980.8199191277067
FDB33,OUT027,4159.722269291872
FDI12,OUT013,1354.1296157831216
NCW42,OUT013,3568.991385687043
NCC06,OUT018,1859.74982197943
FDW02,OUT017,2089.547972243869
NCD43,OUT017,1761.6256119000213
FDM57,OUT018,1201.157136478058
FDA58,OUT017,3898.7452388586676
FDK56,OUT046,3012.530041997425
FDP52,OUT045,3871.5794658896
FDW20,OUT018,1769.3264250792076
FDS52,OUT049,1607.9678670610954
NCT29,OUT018,1738.7202195583286
NCL54,OUT013,2985.6270158111247
FDC05,OUT045,3034.079330592997
FDF34,OUT035,3180.169173762843
FDP03,OUT027,3249.186290928758
FDD32,OUT010,181.57744234909282
FDZ10,OUT045,1978.8488817767598
FDZ40,OUT035,847.1655780994896
FDD51,OUT018,562.3348716367423
NCY30,OUT019,428.862087173764
FDP58,OUT017,3771.6321828095342
FDV49,OUT017,4213.800309616914
FDY24,OUT019,143.88471446542965
NCO55,OUT017,1728.9233449912488
FDR13,OUT017,1959.6329162415923
FDS51,OUT017,983.9231175121247
FDP26,OUT045,1554.6049260024718
NCB54,OUT027,3334.647949350555
FDF32,OUT017,3222.121562658023
FDN31,OUT018,2789.2908132275097
DRM48,OUT017,625.5981063575276
FDN20,OUT049,2809.530145014875
DRL01,OUT046,3821.5366371838318
FDV56,OUT049,1714.00628125656
DRH13,OUT027,2772.016489559859
FDA03,OUT017,2440.571447556064
FDF47,OUT027,5728.358936620058
FDX32,OUT046,2485.852116082968
FDX57,OUT049,1563.664861092256
NCA30,OUT045,2818.600045937118
FDO49,OUT013,727.3390148199389
FDL04,OUT019,263.7498684881355
DRM48,OUT035,664.0376409366639
FDR16,OUT013,3433.661159250516
NCC19,OUT018,2860.050348487386
NCE42,OUT045,3619.349900625424
FDY24,OUT017,877.2332239825398
FDH19,OUT049,2945.9897814589226
FDJ46,OUT013,2913.5289555806103
FDN45,OUT010,576.0557994821277
FDY08,OUT035,2332.846293981423
FDZ37,OUT035,1443.4690048635423
NCT30,OUT045,755.5261550260088
DRY23,OUT018,532.0036185257513
NCZ30,OUT018,1792.6775537819717
FDC44,OUT018,1576.6530118380435
FDB45,OUT035,1674.0217039706238
FDY04,OUT013,2575.619489751627
FDM27,OUT046,2575.0250063141475
FDZ43,OUT017,4124.144050995532
FDT39,OUT019,358.0969917106605
NCC06,OUT019,303.178298413113
FDL15,OUT027,3915.8266053271814
FDL57,OUT017,4179.221263806897
FDU08,OUT046,1583.8683125146574
FDK40,OUT017,4273.1120770658035
FDQ12,OUT010,560.2847142582324
FDS48,OUT017,2471.008901595397
FDP09,OUT045,3380.8948592155652
FDW21,OUT049,1621.549178077484
FDY25,OUT035,3135.936732865348
DRE13,OUT017,1422.6040517546278
FDV43,OUT019,109.7795958997654
FDD22,OUT045,1742.8472960565302
FDM46,OUT019,250.08145064258176
NCO30,OUT010,447.04631813244777
FDM25,OUT046,2851.6613393099715
NCN41,OUT049,2061.626269317983
FDU24,OUT045,1509.1822564652819
FDZ50,OUT046,3184.3654107650464
FDP45,OUT013,4007.298161382801
NCM54,OUT045,1933.7204923897696
FDW10,OUT019,417.73168275615717
FDP20,OUT017,2113.76535968849
FDK32,OUT046,2540.998015601211
FDN52,OUT049,1341.9203818750402
FDM58,OUT045,1811.4652020560661
FDZ46,OUT027,2946.7472737213243
NCA18,OUT018,1705.2505954466608
FDD35,OUT046,2084.061082332424
NCK31,OUT035,764.9297698615458
FDI40,OUT027,2665.5729700911197
FDT50,OUT019,250.11946573981228
NCT06,OUT046,2700.46162128124
FDT31,OUT035,3101.444866165579
FDT45,OUT049,840.9857015209448
FDT13,OUT045,2910.1167977436494
FDO50,OUT045,1440.0284863573686
NCU18,OUT010,331.65505415594436
NCR54,OUT049,3217.9928341309546
NCO18,OUT018,2622.5202945391893
FDU09,OUT045,883.431854562522
FDT13,OUT018,2771.3166944979166
FDE09,OUT046,1832.1940082866813
NCK53,OUT019,267.5412482778141
FDG45,OUT049,3617.8792344903904
DRH15,OUT035,728.6033481980644
FDO21,OUT019,539.4168377522568
FDD14,OUT027,5041.330834576545
FDC09,OUT046,1682.7015083334895
FDH45,OUT027,1405.913538730083
FDV32,OUT046,1045.392095130484
FDG12,OUT035,2006.0281775603692
FDS32,OUT013,2340.787633048286
NCL55,OUT018,3534.3331975418773
DRE01,OUT035,4074.9772039151653
DRE15,OUT049,1231.6989737039307
NCL42,OUT045,3665.7171640526913
FDP31,OUT013,892.4349909436361
FDN33,OUT018,1331.0404785318015
FDZ59,OUT046,2700.9204063817742
FDE45,OUT010,416.92460641854296
FDJ07,OUT013,1919.184405744546
FDQ45,OUT018,2785.3282714393486
FDM33,OUT027,5620.22857687028
FDO15,OUT010,175.82163784982538
FDM46,OUT013,1503.7162460634752
FDR03,OUT045,3336.984928116032
FDY49,OUT018,2456.1779811371457
FDQ60,OUT045,1887.3152785504392
FDW10,OUT049,2955.7235821899358
FDO51,OUT049,733.6584741184192
FDJ40,OUT018,1480.1821063527107
FDS20,OUT018,2681.71115412332
FDU45,OUT013,1898.6055949302238
FDV02,OUT035,2917.1026360287046
FDN09,OUT046,3740.467726924571
NCM55,OUT027,5168.004418727688
FDN23,OUT018,2026.6439704815805
FDY31,OUT010,348.31958170448206
FDW03,OUT010,238.70895619659404
FDD14,OUT046,3001.6634438880997
FDV23,OUT017,2054.4256370343683
DRI03,OUT045,2834.477069291658
FDN13,OUT035,1616.0290188421059
FDF45,OUT027,1826.5820770093387
FDU46,OUT035,1459.331595797602
FDB57,OUT049,3697.7301067535313
FDV12,OUT049,1610.1641863791638
FDQ58,OUT013,2471.4658427791146
NCA18,OUT017,1919.3980276723898
FDH52,OUT049,922.8215501798846
FDM24,OUT018,2171.9879067997667
NCP43,OUT027,5019.823743179709
NCO18,OUT019,423.8740852212375
FDM32,OUT017,1436.237010982557
NCL07,OUT017,619.9640382022791
FDK03,OUT013,4178.384209550725
FDP59,OUT017,1714.2262470571948
FDQ24,OUT049,4140.707153199348
FDQ16,OUT018,1489.7333795404675
FDU44,OUT013,2594.0771542282714
FDH28,OUT010,109.99099181645295
FDV28,OUT019,110.18749419673453
FDM22,OUT045,854.219543139881
FDR56,OUT046,3087.567725084146
FDV39,OUT049,3245.455244929154
FDU37,OUT019,219.6529331089797
FDQ11,OUT010,584.0697976186847
FDX02,OUT045,3657.798888306788
NCS42,OUT018,1320.8077358905657
FDY57,OUT027,2603.5558994762528
FDB21,OUT049,4020.3483663664
FDE28,OUT017,3975.0058210894126
FDQ55,OUT017,1929.5662107456217
FDA48,OUT049,3741.299173275054
FDZ19,OUT045,2694.116527197363
NCC43,OUT045,3731.8419095683303
NCV18,OUT046,1383.1772524670948
NCA42,OUT018,2384.0400672641154
FDY45,OUT046,3830.086069889514
NCC30,OUT045,2868.602415443642
FDM57,OUT013,1357.8136226323022
FDL09,OUT010,423.7873429052366
FDB09,OUT027,3398.922485112867
FDT44,OUT035,1959.770151220797
NCT06,OUT027,4294.984730612482
FDX26,OUT049,3248.570886156869
FDK32,OUT013,2498.7578674052947
DRA12,OUT046,2279.38530417998
FDO46,OUT010,509.37340102685755
FDE52,OUT013,1328.6196367402079
NCH42,OUT045,3623.3942875439443
FDV08,OUT035,703.1332800321185
FDB47,OUT018,3075.992884608202
FDC28,OUT010,240.68872816554952
FDD22,OUT046,1882.7253493589012
FDS07,OUT027,3180.3470577212847
DRI13,OUT045,3490.666925482412
FDG32,OUT018,3297.5451824398565
FDU14,OUT017,4127.802685837655
FDD28,OUT019,159.0923453719035
NCP41,OUT017,1790.0244678833897
FDS08,OUT049,2912.784862698415
FDX47,OUT045,2531.8966306300827
FDC53,OUT019,254.92676584996923
FDQ19,OUT035,4219.942250634746
FDL14,OUT045,2503.1415190951243
FDM33,OUT019,549.2859910963932
FDA51,OUT045,1820.2005386155008
FDZ27,OUT018,637.1316836089261
FDT04,OUT046,658.0250466625557
DRC13,OUT049,2111.718693567245
FDR16,OUT027,5555.082908970234
FDQ03,OUT027,5886.433233943374
FDE38,OUT035,2853.521017630697
DRH23,OUT027,1626.1420488980357
FDT11,OUT019,508.0130399399821
FDD09,OUT035,3007.077515436104
FDR40,OUT045,1339.5149133196692
FDX07,OUT017,3124.220012769937
FDR07,OUT035,1587.9926528866617
FDA51,OUT017,1905.9730203805273
FDT59,OUT019,552.6983004068755
FDF20,OUT017,3204.630224107021
FDR13,OUT045,1880.9733254069884
FDY26,OUT049,3652.691162530976
FDW04,OUT017,2102.5098750377597
FDK52,OUT017,3903.224646650698
FDN60,OUT049,2609.5187943773753
FDM09,OUT019,428.3736651718942
FDP46,OUT049,1404.7847984954567
FDB50,OUT019,215.48399881494936
NCQ29,OUT049,4145.809613033577
FDP16,OUT027,6080.70441730604
FDX33,OUT018,2461.5665977495887
FDP07,OUT010,478.6502793326737
FDN22,OUT046,3743.8545612292564
FDF39,OUT049,4096.932191506663
FDS21,OUT017,975.4447972330341
NCM42,OUT013,1727.042734558959
FDK50,OUT019,397.0885530307655
DRF13,OUT027,3711.2422508806403
FDH35,OUT018,2363.6311883048697
FDP60,OUT018,1388.6569743180025
DRJ49,OUT027,3314.9734389786463
NCT42,OUT019,345.2850391731614
FDE38,OUT049,2759.6122903572473
FDI04,OUT049,3310.8595337627125
NCH54,OUT045,2606.862945554323
FDT56,OUT049,907.173657610345
DRD15,OUT018,3272.8038504787137
FDV58,OUT013,3012.243951656501
FDP21,OUT049,3247.545204386414
FDH05,OUT013,3855.66339076649
FDR10,OUT027,4135.097193959793
NCP06,OUT045,2434.3616708150357
FDF33,OUT049,1697.8929400632803
DRK37,OUT013,3149.451091464167
DRH49,OUT045,1333.3227437916028
FDT58,OUT013,2714.2967876628727
FDD41,OUT018,1459.03352574566
FDP40,OUT018,1535.978202597175
FDM51,OUT027,2664.0147467426573
FDO45,OUT010,192.4044680032153
FDW33,OUT010,248.91344972609954
FDY24,OUT045,860.3732190493072
FDB10,OUT010,574.4812877038769
FDM40,OUT035,2356.486422451804
NCI06,OUT017,3099.8323406459544
FDW12,OUT019,325.16670893483916
FDX48,OUT027,4060.846904871896
NCW05,OUT027,2841.004640322731
FDX27,OUT017,1512.201024692942
DRM37,OUT045,2934.8028069071256
FDA38,OUT045,3837.192588703346
FDR36,OUT046,692.3728256155202
FDZ45,OUT046,3173.0344795902583
FDG05,OUT017,2549.0278191064776
FDK28,OUT013,4436.978155758394
FDV47,OUT045,1360.4168336330827
FDN21,OUT045,2617.80456872451
FDP20,OUT027,3453.290869652961
FDI35,OUT045,2903.509665514817
DRY23,OUT013,685.2900096686809
FDA56,OUT017,2081.7862830549607
FDB09,OUT013,2011.2570473132673
NCO26,OUT027,3074.5581971468696
FDQ49,OUT018,2305.609139739887
FDI52,OUT027,3154.635674028011
FDZ44,OUT027,3200.46900882673
FDZ09,OUT018,2411.409776109997
FDY03,OUT049,1882.6674888559614
NCG42,OUT017,2135.724245429994
DRI13,OUT027,5661.851757132851
FDQ32,OUT013,2074.326334280582
FDW16,OUT035,1448.920774007741
FDU27,OUT046,765.4801955432208
FDR28,OUT010,404.95566381420923
FDQ49,OUT010,389.82277401076425
FDS37,OUT046,1944.1973567544096
FDW26,OUT018,3180.8822351716835
FDX12,OUT018,3406.761317028167
NCP06,OUT013,2437.3618240425208
FDW45,OUT010,352.29182615986576
NCN30,OUT049,1483.8962082401017
FDN24,OUT049,844.5232400671158
NCL41,OUT027,1134.0851021630683
FDR02,OUT019,281.3648531349646
FDD09,OUT010,427.460884652402
FDS33,OUT010,193.5774906178075
FDU22,OUT045,1885.1018199798732
FDI53,OUT013,2535.8289418604104
DRH01,OUT049,2956.284014697319
FDX32,OUT013,2455.8607415085667
NCP30,OUT018,501.416060868166
FDB60,OUT045,2891.1270598177066
FDB14,OUT049,1449.4116413833783
NCP02,OUT035,921.0967704030202
FDJ10,OUT017,2369.6025675955116
FDG34,OUT046,1897.7087568796176
NCB18,OUT017,1411.0333353972894
FDM16,OUT049,1195.1523828180184
FDW25,OUT018,1229.7982317413991
FDB35,OUT010,190.97233966346698
DRN11,OUT013,2403.7272925221123
FDF41,OUT019,567.6319262298107
FDH16,OUT045,1395.6502428316016
NCQ50,OUT018,3112.9995083329018
DRH23,OUT018,760.9008908903331
DRJ37,OUT013,2362.224007271774
DRJ24,OUT027,5050.21582366427
FDY16,OUT035,3145.8497778680444
FDQ27,OUT045,1662.4058386689399
FDZ33,OUT045,2452.591960222393
FDF29,OUT045,2048.9965804332023
FDA08,OUT049,2744.5832474593203
FDG31,OUT046,1032.8859541294926
FDE34,OUT019,448.17768983676206
NCR30,OUT027,2089.751154073108
FDV33,OUT035,4186.16637754765
DRZ24,OUT018,1749.5805973723009
NCL54,OUT035,2998.3496430870146
FDR12,OUT049,2991.5630028140795
NCC54,OUT046,3833.341305666437
DRN59,OUT013,692.9030683546999
FDX50,OUT019,278.6826096631649
FDV31,OUT027,5006.865473848715
NCA29,OUT027,4744.500601245646
FDW60,OUT049,3090.787982081562
FDX08,OUT017,3059.20728344987
DRD49,OUT013,3912.054268861796
FDD33,OUT046,3701.85560685755
FDW35,OUT013,647.2648418557884
FDJ36,OUT017,1735.4726012317374
FDV51,OUT035,2859.814469316824
FDW36,OUT046,1733.7525479089388
FDH35,OUT046,2639.2209386078835
NCS30,OUT027,3391.0662267885536
FDN49,OUT017,622.0380835588587
FDL08,OUT018,3468.6925181282654
FDI09,OUT013,3893.2819587744084
FDP19,OUT018,1861.8065543369785
FDU21,OUT010,111.62035855599383
NCP41,OUT045,1651.6062478536207
FDY10,OUT013,1857.9386896656372
FDP12,OUT018,492.9293538107737
NCN26,OUT049,1959.415284409166
FDK44,OUT013,2797.4424255106696
FDC28,OUT049,1721.399377803042
FDJ41,OUT027,6109.118754240729
NCT29,OUT035,2008.9570211563478
NCH42,OUT019,545.2839119078226
FDU60,OUT018,2488.7721216155414
FDS02,OUT045,3044.5296876090724
FDC51,OUT046,2098.5496028916823
FDU03,OUT013,3066.823417907068
FDX39,OUT045,3504.61257246487
NCY05,OUT010,121.614878866738
NCL06,OUT027,5998.80372304114
FDD32,OUT035,1329.983720764075
NCN41,OUT045,1908.4695357028995
NCX53,OUT049,2337.3912836909185
FDU57,OUT019,342.9657049467521
FDQ23,OUT046,1728.2211506950305
FDQ52,OUT045,3995.573116512376
FDC14,OUT045,669.1769413437322
FDY09,OUT035,3056.5806712839367
FDQ28,OUT045,2580.7786543747234
FDV25,OUT046,3641.455133492634
FDJ07,OUT035,1930.42308703067
DRB25,OUT049,1678.7929147172752
FDK52,OUT019,553.1732491552439
FDY52,OUT027,1756.6488670973642
FDB28,OUT046,3230.577711129288
FDT36,OUT035,635.8548838276982
FDV25,OUT017,3891.1905486449673
NCN07,OUT027,3351.8844450316165
FDC57,OUT017,3190.4151624262204
FDQ03,OUT018,3354.0450199882553
FDU23,OUT017,2726.2360033392983
NCX41,OUT035,3708.102982605142
NCD06,OUT035,749.2883251026287
FDW08,OUT045,1587.5895300890948
NCU29,OUT017,2375.3368831466432
NCE06,OUT013,2584.7410567399256
FDV52,OUT010,252.51565375450863
FDB02,OUT017,3011.373423846886
NCR18,OUT045,669.7461652506083
FDK16,OUT049,1469.3277772818471
NCQ29,OUT010,593.0869172708894
FDZ01,OUT019,264.39069336072544
FDW27,OUT035,2580.5713770183415
FDD17,OUT018,3408.0243313021447
FDW39,OUT013,2934.712838174174
DRH59,OUT045,1203.3116603179644
FDS52,OUT013,1601.5106703482313
FDU40,OUT027,5333.003800417524
NCF54,OUT013,2898.504644214909
FDH46,OUT045,1627.691759094209
NCP14,OUT049,1695.7602637908756
FDH50,OUT049,3273.2935735194797
DRF15,OUT010,370.2960930273748
FDV27,OUT027,2432.5240818373795
NCJ06,OUT049,2069.5084185019737
FDN02,OUT018,3100.0575722335357
FDQ51,OUT049,752.2679578864736
FDQ07,OUT017,3990.991250617984
FDS45,OUT049,1754.4718561715981
NCJ06,OUT045,1930.4306979226678
FDD36,OUT035,1949.2989175320215
FDY25,OUT045,2900.2218294135178
FDU52,OUT046,2405.9920379531054
DRK47,OUT017,3907.2904047315346
NCL30,OUT017,2101.0871917848995
FDN22,OUT035,4046.294667957796
NCF30,OUT027,3297.945616511674
FDK03,OUT035,4273.8672685508245
FDT45,OUT017,870.4638079538809
NCC54,OUT027,5922.9245704660925
